S_D_M;class;#groups;seeding;group_no;group_pos;for_main_round;for_consolation;startnumber_A;startnumber_B
D;M1;7;300;1;1;1;;13;133
D;M1;7;299;1;2;1;;137;142
D;M1;7;298;1;3;;1;77;47
D;M1;7;279;1;4;;1;81;286
D;M1;7;297;2;1;1;;123;72
D;M1;7;296;2;2;1;;197;181
D;M1;7;295;2;3;;1;61;279
D;M1;7;278;2;4;;1;1;162
D;M1;7;294;3;1;1;;24;151
D;M1;7;293;3;2;1;;93;31
D;M1;7;292;3;3;;1;89;265
D;M1;7;277;3;4;;1;291;272
D;M1;7;291;4;1;1;;76;284
D;M1;7;290;4;2;1;;149;35
D;M1;7;289;4;3;;1;11;48
D;M1;7;276;4;4;;1;307;184
D;M1;7;288;5;1;1;;230;194
D;M1;7;287;5;2;1;;182;305
D;M1;7;286;5;3;;1;192;177
D;M1;7;275;5;4;;1;74;232
D;M1;7;285;6;1;1;;97;294
D;M1;7;284;6;2;1;;276;141
D;M1;7;283;6;3;;1;193;30
D;M1;7;273;6;4;;1;124;37
D;M1;7;282;7;1;1;;114;234
D;M1;7;281;7;2;1;;5;65
D;M1;7;280;7;3;;1;59;95
D;M1;7;272;7;4;;1;32;309
