S_D_M;class;#groups;seeding;group_no;group_pos;for_main_round;for_consolation;startnumber_A;startnumber_B
S;M1;167;1000;1;1;1;;1001;
S;M1;167;999;2;1;1;;1002;
S;M1;167;998;3;1;1;;1003;
S;M1;167;997;4;1;1;;1004;
S;M1;167;996;5;1;1;;1005;
S;M1;167;995;6;1;1;;1006;
S;M1;167;994;7;1;1;;1008;
S;M1;167;993;8;1;1;;1009;
S;M1;167;992;9;1;1;;1010;
S;M1;167;991;10;1;1;;1011;
S;M1;167;990;11;1;1;;1012;
S;M1;167;989;12;1;1;;1013;
S;M1;167;988;13;1;1;;1015;
S;M1;167;987;14;1;1;;1016;
S;M1;167;986;15;1;1;;1018;
S;M1;167;985;16;1;1;;1019;
S;M1;167;984;17;1;1;;1020;
S;M1;167;983;18;1;1;;1021;
S;M1;167;982;19;1;1;;1022;
S;M1;167;981;20;1;1;;1023;
S;M1;167;980;21;1;1;;1024;
S;M1;167;979;22;1;1;;1025;
S;M1;167;978;23;1;1;;1027;
S;M1;167;977;24;1;1;;1028;
S;M1;167;976;25;1;1;;1029;
S;M1;167;975;26;1;1;;1030;
S;M1;167;974;27;1;1;;1031;
S;M1;167;973;28;1;1;;1032;
S;M1;167;972;29;1;1;;1033;
S;M1;167;971;30;1;1;;1034;
S;M1;167;970;31;1;1;;1035;
S;M1;167;969;32;1;1;;1036;
S;M1;167;968;33;1;1;;1038;
S;M1;167;967;34;1;1;;1039;
S;M1;167;966;35;1;1;;1040;
S;M1;167;965;36;1;1;;1041;
S;M1;167;964;37;1;1;;1042;
S;M1;167;963;38;1;1;;1045;
S;M1;167;962;39;1;1;;1048;
S;M1;167;961;40;1;1;;1049;
S;M1;167;960;41;1;1;;1050;
S;M1;167;959;42;1;1;;1051;
S;M1;167;958;43;1;1;;1052;
S;M1;167;957;44;1;1;;1053;
S;M1;167;956;45;1;1;;1055;
S;M1;167;955;46;1;1;;1056;
S;M1;167;954;47;1;1;;1057;
S;M1;167;953;48;1;1;;1058;
S;M1;167;952;49;1;1;;1059;
S;M1;167;951;50;1;1;;1060;
S;M1;167;950;51;1;1;;1061;
