Startnumber;Last_name;First_name;Country;PPP_chapter;Gender;QTTR
1001;Wang;Chuqin;CHN;China;M;2796
1002;Fan;Zhendong;CHN;1. FC Saarbr�cken-TT;M;2745
1003;Ma;Long;CHN;China;M;2714
1004;Lebrun;Felix;FRA;France;M;2707
1005;Matsushima;Sora;JPN;Japan;M;2707
1006;Lin;Yun-Ju;TPE;Japan;M;2693
1007;Sun;Yingsha;CHN;China;F;2685
1008;Harimoto;Tomokazu;JPN;Japan;M;2671
1009;Lin;Shidong;CHN;China;M;2666
1010;Jang;Woojin;KOR;South Korea (Republic);M;2659
1011;Calderano;Hugo;POR;TTF Liebherr Ochsenhausen;M;2658
1012;M�regardh;Truls;SWE;Sweden;M;2655
1013;Wen;Ruibo;CHN;China;M;2652
1014;Chen;Meng;CHN;China;F;2646
1015;Lebrun;Alexis;FRA;France;M;2642
1016;Yeboah;Michael;GHA;Ghana;M;2641
1017;Wang;Manyu;CHN;China;F;2637
1018;Zhou;Qihao;CHN;China;M;2635
1019;Liang;Jingkun;CHN;China;M;2612
1020;Lin;Gaoyuan;CHN;China;M;2609
1021;Togami;Shunsuke;JPN;TTF Liebherr Ochsenhausen;M;2606
1022;Coton;Flavien;FRA;France;M;2605
1023;Qiu;Dang;GER;Borussia D�sseldorf;M;2603
1024;Lee;Sangsu;KOR;South Korea (Republic);M;2603
1025;Liu;Dingshuo;CHN;China;M;2590
1026;Harimoto;Miwa;JPN;Japan;F;2589
1027;Xiang;Peng;CHN;China;M;2585
1028;Ning;Xiankun;CHN;China;M;2583
1029;Gauzy;Simon;FRA;TTF Liebherr Ochsenhausen;M;2582
1030;Franziska;Patrick;GER;1. FC Saarbr�cken-TT;M;2581
1031;Ovtcharov;Dimitrij;GER;TTC Rh�nSprudel Fulda-Maberzell;M;2577
1032;Jorgic;Darko;SLO;1. FC Saarbr�cken-TT;M;2576
1033;Huang;Youzheng;CHN;China;M;2576
1034;Chen;Yuanyu;CHN;China;M;2574
1035;K�llberg;Anton;SWE;Borussia D�sseldorf;M;2573
1036;Yoshimura;Maharu;JPN;Japan;M;2573
1037;Kuai;Man;CHN;China;F;2573
1038;Oh;Junsung;KOR;South Korea (Republic);M;2572
1039;Sidorenko;Vladimir;RUS;Russia;M;2571
1040;Zhai;Jiale;CHN;China;M;2571
1041;An;Jaehyun;KOR;South Korea (Republic);M;2568
1042;Duda;Benedikt;GER;TTC Schwalbe Bergneustadt;M;2567
1043;Odo;Satsuki;JPN;Japan;F;2566
1044;Wang;Yidi;CHN;China;F;2566
1045;Lind;Anders;DEN;BV Borussia 09 Dortmund;M;2565
1046;Zhu;Yuling;CHN;China;F;2563
1047;Chen;Xingtong;CHN;China;F;2563
1048;Kao;Cheng-Jui;TPE;TTC Rh�nSprudel Fulda-Maberzell;M;2558
1049;Huang;Xunan;CHN;China;M;2557
1050;Jha;Kanak;GER;Borussia D�sseldorf;M;2556
1051;Pucar;Tomislav;CRO;Russia;M;2554
1052;Gerassimenko;Kirill;KAZ;SV Werder Bremen;M;2554
1053;Uda;Yukiya;JPN;Japan;M;2554
1054;Chen;Yi;CHN;China;F;2554
1055;Chen;Junsong;CHN;China;M;2554
1056;Park;Ganghyeon;KOR;TSV Windsbach;M;2553
1057;Alamiyan;Noshad;IRI;Iran;M;2549
1058;Iwaida;Shunto;JPN;Japan;M;2549
1059;Poret;Thibault;FRA;TTC Rh�nSprudel Fulda-Maberzell;M;2548
1060;Zhou;Kai;CHN;TSV Windsbach;M;2548
1061;Shinozuka;Hiroto;JPN;ASC Gr�nwettersbach;M;2547
1062;Xue;Fei;CHN;TSV Bad K�nigshofen;M;2545
1063;Muramatsu;Yuto;JPN;1. FC Saarbr�cken-TT;M;2544
1064;Kawakami;Ryuusei;JPN;Japan;M;2543
1065;Ueda;Jin;JPN;TSV Bad K�nigshofen;M;2541
1066;Yoshiyama;Ryoichi;JPN;Japan;M;2541
1067;Cho;Seungmin;KOR;South Korea (Republic);M;2539
1068;Hashimoto;Honoka;JPN;Japan;F;2538
1069;Sun;Wen;CHN;China;M;2538
1070;Kuo;Guan-Hong;TPE;Taiwan;M;2537
1071;Fan;Siqi;CHN;China;F;2537
1072;Xu;Haidong;CHN;China;M;2536
1073;Pitchford;Liam;GBR;France;M;2535
1074;Park;Gyuhyeon;KOR;South Korea (Republic);M;2535
1075;Luo;Jiecheng;CHN;China;M;2535
1076;Zhao;Zihao;CHN;China;M;2534
1077;Lim;Jonghoon;KOR;South Korea (Republic);M;2533
1078;Xu;Yingbin;CHN;China;M;2533
1079;Wong;Chun Ting;HKG;TTC Rh�nSprudel Fulda-Maberzell;M;2532
1080;Niu;Guankai;CHN;China;M;2532
1081;Jiang;Yiyi;CHN;China;F;2532
1082;Seyfried;Joe;FRA;SV Motor 1951 Falkensee;M;2530
1083;Geraldo;Joao;POR;France;M;2529
1084;Redzimski;Milosz;POL;Poland;M;2529
1085;Tanaka;Yuta;JPN;France;M;2529
1086;Yoshimura;Kazuhiro;JPN;Japan;M;2529
1087;Kizukuri;Yuto;JPN;Japan;M;2528
1088;Hayata;Hina;JPN;Japan;F;2527
1089;Ruiz;Romain;FRA;TTC Schwalbe Bergneustadt;M;2527
1090;Steger;Bastian;GER;TSV Bad K�nigshofen;M;2526
1091;Mengel;Steffen;GER;Post SV M�hlhausen 1951 e.V.;M;2526
1092;Boll;Timo;GER;Borussia D�sseldorf;M;2525
1093;Falck;Mattias;SWE;SV Werder Bremen;M;2524
1094;Gionis;Panagiotis;GRE;TTC Oggersheim;M;2524
1095;Shin;Yubin;KOR;South Korea (Republic);F;2523
1096;Andras;Csaba;HUN;TTC OE Clarity Telefonie-Systeme Bad Homburg e.V.;M;2522
1097;Chuang;Chih-Yuan;TPE;TTC Rh�nSprudel Fulda-Maberzell;M;2521
1098;Shi;Xunyao;CHN;China;F;2521
1099;Liang;Yanning;CHN;China;M;2521
1100;Yuan;Licen;CHN;China;M;2518
1101;Cho;Daeseong;KOR;South Korea (Republic);M;2517
1102;Hamada;Kazuki;JPN;Japan;M;2517
1103;Feng;Yi-Hsin;TPE;TTC Zugbr�cke Grenzau;M;2514
1104;Sato;Hitomi;JPN;Japan;F;2514
1105;Ursu;Vladislav;MDA;Moldova;M;2513
1106;Dupont;Bastien;FRA;France;M;2513
1107;Yu;Heyi;CHN;TTC Rh�nSprudel Fulda-Maberzell;M;2512
1108;Xiang;Junlin;CHN;China;F;2512
1109;Zhao;Zhaoyan;CHN;TSV Windsbach;M;2511
1110;Shah;Manush Utpalbhai;IND;TTC Schwalbe Bergneustadt;M;2507
1111;Cassin;Alexandre;FRA;TTC Rh�nSprudel Fulda-Maberzell;M;2506
1112;Zeng;Beixun;CHN;China;M;2506
1113;Hu;Yi;CHN;China;F;2506
1114;Aruna;Quadri;POR;TTC Rh�nSprudel Fulda-Maberzell;M;2505
1115;Ojio;Haruna;JPN;Japan;F;2505
1116;Apolonia;Tiago;POR;ASC Gr�nwettersbach;M;2504
1117;Oikawa;Mizuki;JPN;Japan;M;2504
1118;Robles;Alvaro;ESP;TTF Liebherr Ochsenhausen;M;2503
1119;Park;Yeryeong;KOR;South Korea (Republic);F;2503
1120;Assar;Omar;SWE;Egypt;M;2502
1121;Skachkov;Kirill;RUS;TTC Waldniel;M;2502
1122;Yan;Sheng;CHN;Oldenburger TB;M;2502
1123;Li;Hechen;CHN;China;M;2500
1124;Mende;Rin;JPN;Japan;F;2500
1125;Wang;Jixuan;CHN;China;M;2500
1126;Karlsson;Kristian;SWE;BV Borussia 09 Dortmund;M;2499
1127;Makino;Mirei;JPN;Japan;F;2498
1128;Verdonschot;Wim;GER;Sportverein Union Velbert 2011 e.V.;M;2497
1129;Qian;Tianyi;CHN;China;F;2497
1130;de Nodrest;Leo;FRA;TTC Schwalbe Bergneustadt;M;2495
1131;He;Zhuojia;CHN;ttc berlin eastside;F;2493
1132;Wei;Jingming;CHN;China;F;2493
1133;Chen;Chien-An;TPE;TSV Windsbach;M;2491
1134;Chan;Baldwin Ho Wah;HKG;Hongkong;M;2491
1135;Freitas;Marcos;POR;Post SV M�hlhausen 1951 e.V.;M;2490
1136;Dyjas;Jakub;POL;Poland;M;2490
1137;Groth;Jonathan;DEN;TTC Rh�nSprudel Fulda-Maberzell;M;2489
1138;Jancarik;Lubomir;CZE;France;M;2489
1139;Bertrand;Irvin;FRA;SV Werder Bremen;M;2488
1140;Mladenovic;Luka;LUX;TTC Zugbr�cke Grenzau;M;2487
1141;Fei;Junhang;CHN;China;M;2486
1142;Gacina;Andrej;CRO;Croatia;M;2485
1143;Thakkar;Manav Vikash;IND;India;M;2485
1144;Badowski;Marek;POL;Poland;M;2485
1145;Stumper;Kay;GER;Post SV M�hlhausen 1951 e.V.;M;2484
1146;Nagasaki;Miyu;JPN;Japan;F;2484
1147;Ojio;Yuna;JPN;Japan;F;2484
1148;Bertelsmeier;Andre;GER;TSV Bad K�nigshofen;M;2483
1149;Sun;Yang;CHN;China;M;2483
1150;Ionescu;Eduard;ROU;1. FC Saarbr�cken-TT;M;2482
1151;Kaneyoshi;Yuka;JPN;ttc berlin eastside;F;2480
1152;Wang;Xi;GER;TSG Kaiserslautern;M;2479
1153;Yoshiyama;Kazuki;JPN;TTC SR Hohenstein-Ernstthal;M;2479
1154;Woo;Hyeonggyu;KOR;South Korea (Republic);M;2479
1155;Ishida;Kokomi;JPN;Japan;F;2479
1156;Winter;Sabine;GER;TSV Dachau 65;F;2477
1157;Ito;Mima;JPN;Japan;F;2477
1158;Sakai;Yuhi;JPN;Japan;M;2477
1159;Gnanasekaran;Sathiyan;IND;India;M;2476
1160;Wang;Yang;SVK;Slovak Republic;M;2476
1161;Huang;Yan-Cheng;TPE;ASC Gr�nwettersbach;M;2476
1162;Yao;Ruixuan;CHN;China;F;2476
1163;Aida;Satoshi;JPN;Japan;M;2476
1164;Li;Yongyin;CHN;Borussia D�sseldorf;M;2475
1165;Yang;Yiyun;CHN;China;F;2474
1166;Ma;Jinbao;USA;USA;M;2473
1167;Filus;Ruwen;GER;TTC Rh�nSprudel Fulda-Maberzell;M;2472
1168;Rassenfosse;Adrien;BEL;TTC Schwalbe Bergneustadt;M;2472
1169;Cifuentes;Horacio;ARG;Argentina;M;2472
